1.092400	1296
1.073100	5467
0.912900	5308
0.319300	2041
1.735200	9970
1.685800	9695
1.239100	7027
0.687600	4503
0.558500	3464
4.319900	8443
0.203500	1445
1.082100	6652
0.719400	7197
0.609800	5661
0.119100	1517
0.306900	3409
1.008700	9754
0.638200	6637
0.162000	1965
0.094300	1081
0.341400	3847
0.264200	2827
0.394800	4409
0.176800	2141
0.774700	7816
0.114700	1455
1.086700	9158
0.701700	6775
0.451100	4624
0.802600	8079
0.735100	7315
0.054100	718
0.867200	8743
0.397000	4450
0.588000	6064
0.924700	9197
0.856900	7012
0.446900	3830
1.903500	4554
1.052000	7006
0.038500	405
0.805300	6313
0.983800	7798
0.668900	5124
0.692600	5204
0.314400	2847
1.015700	7873
0.817800	5692
0.577800	6082
0.877600	8077
1.181200	7861
0.387200	4037
0.051700	715
0.205100	2421
0.840900	8084
0.514200	5396
0.297900	2321
0.561400	5699
0.799600	5326
0.340400	3848
0.367700	3501
0.706200	7167
0.880900	7806
0.241400	2805
1.103600	7080
0.014900	150
0.652600	5684
1.310900	9815
1.370200	9813
0.334700	3720
0.270800	2628
0.757500	6942
1.034300	9176
0.124100	1546
0.504000	5360
0.268600	2022
0.350600	3844
0.766500	6592
0.457200	4907
0.091400	1208
