15719	1296
77991	5467
82515	5308
24683	2041
158438	9970
152868	9695
100129	7027
62248	4503
46809	3464
124508	8443
17211	1445
99697	6652
103193	7197
82249	5661
16586	1517
46053	3409
166870	9754
96429	6637
24491	1965
11714	1081
53072	3847
35902	2827
58913	4409
25557	2141
119272	7816
16547	1455
135919	9158
100640	6775
65194	4624
127936	8079
120817	7315
8177	718
124457	8743
57569	4450
92475	6064
137038	9197
102535	7012
49278	3830
64251	4554
109524	7006
3897	405
94519	6313
112989	7798
70209	5124
72008	5204
36412	2847
118265	7873
81177	5692
87923	6082
115527	8077
124608	7861
58974	4037
7014	715
28598	2421
120340	8084
71610	5396
29585	2321
78689	5699
74900	5326
55739	3848
46560	3501
113724	7167
123550	7806
34858	2805
104851	7080
1037	150
81089	5684
152544	9815
154733	9813
51076	3720
32238	2628
102305	6942
144172	9176
17290	1546
80395	5360
25960	2022
54339	3844
96606	6592
66184	4907
12848	1208
